id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_puskesmas,alamat,lat,long,tahun
68,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,SINDANGJAYA,JL. ARCAMANIK NO. 30,-6.9033,107.6804,2023
69,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,SUKAGALIH,JL. MULYASARI NO.12,-6.8907,107.5895,2023
70,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,SUKAJADI,JL. SUKAGALIH NO. 26 BANDUNG,-6.8922,107.5945,2023
71,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,SUKAPAKIR,JL. PAGARSIH GG.PA OYOH NO. 27 6/6,-6.9232,107.5871,2023
72,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,SUKARASA,JL. GEGERKALONG HILIR NO. 157,-6.8681,107.5825,2023
73,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,SUKAWARNA,JL. CIBOGO NO.76,-6.8858,107.5793,2023
74,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,SUKAHAJI,GG. H. ZAKARIA RT 08 RW 01 SUKAHAJI BABAKAN CIPARAY,-6.9333,107.5825,2023
75,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,SUKARAJA,JL. MEGA RAYA I,-6.8926,107.5684,2023
76,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,SURYALAYA,JL. SURYALAYA VII NO. 1 BANDUNG,-6.945,107.6223,2023
77,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,TALAGA BODAS,JL. TALAGABODAS,-6.928,107.6227,2023
78,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,TAMAN SARI,JL. TAMAN SARI,-6.897,107.6073,2023
79,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,TAMBLONG,JL. TAMBLONG NO. 66,-6.9181,107.6127,2023
80,32,JAWA BARAT,3273,KOTA BANDUNG,3273120,UJUNG BERUNG,32.73.26,UJUNGBERUNG,UJUNGBERUNG INDAH,KOMP.PERUMAHAN UJUNGBERUNG INDAH BLOK 18 NO. 16 KEL.CIGENDING,-6.9114,107.699,2023
