kecamatan,gender,latitude,longitude,luas_m2,harga,harga_per_m2
cicendo,Kos Campur,-6.9020892242147,107.59715938064,7.5,746600,99546.66666666667
cicendo,Kos Campur,-6.8938927,107.5693014,12.0,1465000,122083.33333333333
sukasari,Kos Campur,-6.873081,107.578416,24.0,1300000,54166.666666666664
sukasari,Kos Campur,-6.8802385,107.5800598,20.0,2600000,130000.0
sukajadi,Kos Putri,-6.8885654242276,107.58099252557,9.0,1129000,125444.44444444444
sukajadi,Kos Campur,-6.8863936,107.5830341,10.5,1015000,96666.66666666667
sukajadi,Kos Campur,-6.8882631072147,107.58692163974,9.0,550000,61111.11111111111
sukasari,Kos Campur,-6.8741749,107.5802806,12.0,1900000,158333.33333333334
sukajadi,Kos Campur,-6.885074,107.581302,12.0,2000000,166666.66666666666
cimahi utara,Kos Putra,-6.877781,107.566132,14.0,853000,60928.57142857143
sukajadi,Kos Putri,-6.8873338,107.5832241,12.0,1650000,137500.0
sukajadi,Kos Campur,-6.885068,107.581585,9.0,1800000,200000.0
sukajadi,Kos Campur,-6.8850636837785,107.58272230625,12.0,1500000,125000.0
sukajadi,Kos Campur,-6.8893844980245,107.58245207369,12.0,750000,62500.0
cicendo,Kos Campur,-6.8938927,107.5693014,15.0,2365000,157666.66666666666
sukasari,Kos Putri,-6.877153,107.576813,9.0,1100000,122222.22222222222
sukajadi,Kos Campur,-6.8857191,107.5769227,7.5,900000,120000.0
sukajadi,Kos Putra,-6.893052,107.592143,12.0,585000,48750.0
sukasari,Kos Putri,-6.8803034529944,107.5754243508,9.0,700000,77777.77777777778
sukajadi,Kos Campur,-6.8854821,107.5831927,12.0,1200000,100000.0
cicendo,Kos Campur,-6.8934676163277,107.57292687893,9.0,1300000,144444.44444444444
sukajadi,Kos Campur,-6.8874818933502,107.59347561747,9.0,800000,88888.88888888889
sukasari,Kos Putri,-6.8678569266458,107.58629031479,9.0,1300000,144444.44444444444
sukajadi,Kos Putri,-6.888888,107.583516,9.0,750000,83333.33333333333
cicendo,Kos Putri,-6.900428,107.595074,12.0,1600000,133333.33333333334
sukajadi,Kos Putri,-6.888765,107.597507,9.0,600000,66666.66666666667
sukajadi,Kos Campur,-6.8863936,107.5830341,14.0,1405000,100357.14285714286
sukajadi,Kos Campur,-6.8889624373245,107.58392930031,9.0,750000,83333.33333333333
cidadap,Kos Putri,-6.8717,107.595814,9.0,1200000,133333.33333333334
sukajadi,Kos Putri,-6.8885654242276,107.58099252557,10.5,2095000,199523.80952380953
sukajadi,Kos Putri,-6.8885654242276,107.58099252557,12.0,2371000,197583.33333333334
parongpong,Kos Putra,-6.8689988,107.5648043,9.0,700000,77777.77777777778
cidadap,Kos Campur,-6.8793438118487,107.59836494923,13.5,2500000,185185.1851851852
cidadap,Kos Campur,-6.8793438118487,107.59836494923,13.5,2750000,203703.7037037037
sukajadi,Kos Campur,-6.887338,107.579937,12.0,700000,58333.333333333336
sukasari,Kos Putri,-6.875176,107.594918,7.5,1200000,160000.0
andir,Kos Campur,-6.8927576415699,107.56644163281,9.0,2200000,244444.44444444444
sukajadi,Kos Campur,-6.8896904,107.5825769,12.0,1500000,125000.0
sukajadi,Kos Putra,-6.8821361857767,107.57708530873,7.5,650000,86666.66666666667
sukajadi,Kos Campur,-6.883157,107.579015,15.0,1400000,93333.33333333333
cicendo,Kos Putri,-6.8942424961433,107.56090790033,12.0,875000,72916.66666666667
sukajadi,Kos Putri,-6.892816,107.590391,12.0,1100000,91666.66666666667
sukajadi,Kos Campur,-6.882566,107.581338,9.0,1000000,111111.11111111111
sukajadi,Kos Campur,-6.8817418,107.57993,15.0,2300000,153333.33333333334
sukajadi,Kos Putra,-6.8869915952826,107.58250772953,12.0,850000,70833.33333333333
sukajadi,Kos Campur,-6.8822849743426,107.58366644382,16.0,1350000,84375.0
sukajadi,Kos Campur,-6.8881312961885,107.5857424736,12.0,1900000,158333.33333333334
sukajadi,Kos Putri,-6.8817418,107.57993,15.0,2300000,153333.33333333334
sukajadi,Kos Campur,-6.8869206,107.5843799,19.25,1550000,80519.48051948052
sukajadi,Kos Campur,-6.8817418,107.57993,15.0,2600000,173333.33333333334
sukasari,Kos Putri,-6.875527,107.577573,9.0,700000,77777.77777777778
sukajadi,Kos Putri,-6.8928162236811,107.59039141238,16.0,1400000,87500.0
sukasari,Kos Campur,-6.8753357434384,107.58973896503,16.0,1800000,112500.0
sukajadi,Kos Campur,-6.8861015349022,107.58582830429,12.0,1200000,100000.0
sukajadi,Kos Campur,-6.884892,107.593508,12.0,550000,45833.333333333336
sukajadi,Kos Campur,-6.8851369126045,107.58152302355,10.5,1600000,152380.95238095237
sukajadi,Kos Putri,-6.8862393912367,107.58607280849,9.0,1150000,127777.77777777778
sukajadi,Kos Campur,-6.888725,107.579177,6.0,861850,143641.66666666666
sukajadi,Kos Campur,-6.892234,107.590456,20.0,1200000,60000.0
sukajadi,Kos Campur,-6.8821877826654,107.58094131947,15.0,2200000,146666.66666666666
parongpong,Kos Campur,-6.8676215872283,107.57403731346,8.75,1300000,148571.42857142858
sukasari,Kos Campur,-6.8723190331679,107.58810818195,12.0,800000,66666.66666666667
sukajadi,Kos Campur,-6.8897252,107.5826244,12.0,1800000,150000.0
sukajadi,Kos Campur,-6.884658,107.577737,9.0,900000,100000.0
sukajadi,Kos Campur,-6.8891405150315,107.5907689333,12.0,850000,70833.33333333333
sukajadi,Kos Campur,-6.8891005723741,107.57899135351,9.0,1100000,122222.22222222222
sukajadi,Kos Campur,-6.8878232,107.582168,12.0,1350000,112500.0
sukasari,Kos Campur,-6.8691233,107.593241,9.0,3250000,361111.1111111111
sukajadi,Kos Campur,-6.892166,107.590483,20.0,1100000,55000.0
sukasari,Kos Putra,-6.8713319,107.5785825,12.0,650000,54166.666666666664
sukajadi,Kos Campur,-6.883157,107.579015,12.0,1000000,83333.33333333333
cicendo,Kos Campur,-6.904229,107.59617,9.0,1300000,144444.44444444444
sukajadi,Kos Campur,-6.884333,107.5902908,12.0,1700000,141666.66666666666
sukajadi,Kos Putra,-6.8859178,107.5770659,9.450000000000001,1800000,190476.19047619044
sukajadi,Kos Campur,-6.900152,107.596569,12.0,450000,37500.0
parongpong,Kos Campur,-6.8690294,107.5733886,14.0,1500000,107142.85714285714
cicendo,Kos Campur,-6.9031738,107.5943782,9.0,1300000,144444.44444444444
sukajadi,Kos Campur,-6.888725388749,107.57917654887,8.0,1050000,131250.0
cimahi utara,Kos Campur,-6.8737473644237,107.56121702492,12.0,1500000,125000.0
sukasari,Kos Putra,-6.8788239,107.578182,12.0,800000,66666.66666666667
cicendo,Kos Putri,-6.8955372881967,107.5608535856,9.0,675000,75000.0
sukajadi,Kos Putri,-6.8943703,107.5964981,16.0,1000000,62500.0
cicendo,Kos Campur,-6.8939312795311,107.56329908967,24.0,775000,32291.666666666668
sukasari,Kos Putri,-6.8770909942144,107.58050143719,9.0,950000,105555.55555555556
sukajadi,Kos Campur,-6.88665,107.582161,12.0,850000,70833.33333333333
cimahi utara,Kos Campur,-6.8737856440417,107.56130252033,16.0,1700000,106250.0
cicendo,Kos Campur,-6.904163,107.596161,12.0,1750000,145833.33333333334
sukajadi,Kos Putri,-6.888136,107.583636,21.0,1800000,85714.28571428571
cicendo,Kos Campur,-6.8983528662082,107.58919648826,9.0,850000,94444.44444444444
sukasari,Kos Campur,-6.8691233,107.593241,9.0,2250000,250000.0
sukajadi,Kos Putri,-6.893287,107.590126,14.0,900000,64285.71428571428
sukasari,Kos Campur,-6.8689913475507,107.58669834584,12.0,1700000,141666.66666666666
sukajadi,Kos Campur,-6.891506,107.596844,12.0,1000000,83333.33333333333
sukasari,Kos Campur,-6.8678523,107.5772308,12.0,1200000,100000.0
sukajadi,Kos Campur,-6.8876306,107.5785545,9.0,900000,100000.0
sukajadi,Kos Putra,-6.8841338,107.5904901,9.0,950000,105555.55555555556
cicendo,Kos Campur,-6.9001635612754,107.59021673352,12.0,1150000,95833.33333333333
sukajadi,Kos Campur,-6.887821,107.582003,9.0,1600000,177777.77777777778
sukasari,Kos Campur,-6.8689424157189,107.5818997621,12.0,1000000,83333.33333333333
parongpong,Kos Campur,-6.8676215872283,107.57403731346,12.25,1400000,114285.71428571429
sukajadi,Kos Campur,-6.8851503,107.5786184,12.0,1200000,100000.0
sukasari,Kos Putri,-6.8761776147537,107.57631383836,9.0,685000,76111.11111111111
sukasari,Kos Putri,-6.8828884496363,107.57323499769,12.0,1300000,108333.33333333333
sukasari,Kos Putri,-6.8740239762029,107.57715336978,6.25,900000,144000.0
sukajadi,Kos Campur,-6.8794209,107.5896429,12.0,2200000,183333.33333333334
sukajadi,Kos Campur,-6.888109993393,107.58339285851,15.75,2400000,152380.95238095237
sukajadi,Kos Campur,-6.8794209,107.5896429,12.0,1600000,133333.33333333334
sukasari,Kos Putra,-6.874973,107.579433,9.0,800000,88888.88888888889
sukajadi,Kos Campur,-6.888639,107.594235,12.0,650000,54166.666666666664
sukajadi,Kos Campur,-6.8794209,107.5896429,12.0,1900000,158333.33333333334
sukasari,Kos Campur,-6.8811640475172,107.57974505424,9.0,1350000,150000.0
sukajadi,Kos Campur,-6.887117,107.582993,12.0,1450000,120833.33333333333
sukajadi,Kos Campur,-6.893096,107.588799,12.0,2100000,175000.0
sukasari,Kos Campur,-6.8691233,107.593241,9.0,2500000,277777.77777777775
sukajadi,Kos Putri,-6.897654,107.596355,12.0,1000000,83333.33333333333
sukajadi,Kos Campur,-6.8930641,107.588807,9.0,1900000,211111.11111111112
cicendo,Kos Campur,-6.898487,107.590566,16.0,700000,43750.0
sukajadi,Kos Campur,-6.887031,107.593396,20.0,1300000,65000.0
sukasari,Kos Putri,-6.875873,107.584441,12.0,1449000,120750.0
sukasari,Kos Campur,-6.87165,107.59019,11.2,800000,71428.57142857143
sukajadi,Kos Campur,-6.8857191,107.5769227,13.5,1000000,74074.07407407407
sukajadi,Kos Campur,-6.882523,107.581336,20.0,1600000,80000.0
cicendo,Kos Campur,-6.898487,107.590566,16.0,650000,40625.0
sukajadi,Kos Campur,-6.8930641,107.588807,9.0,1200000,133333.33333333334
cicendo,Kos Putri,-6.900428,107.595074,20.0,1700000,85000.0
sukasari,Kos Putri,-6.8821976253127,107.57654750596,7.839999999999999,650000,82908.16326530614
sukajadi,Kos Campur,-6.8871254037668,107.59414717555,7.290000000000001,600000,82304.52674897118
sukajadi,Kos Campur,-6.890531,107.588584,12.0,1500000,125000.0
sukajadi,Kos Putri,-6.893052,107.592143,9.0,600000,66666.66666666667
sukasari,Kos Putri,-6.880047,107.578493,9.0,800000,88888.88888888889
sukajadi,Kos Campur,-6.8857191,107.5769227,9.0,950000,105555.55555555556
sukajadi,Kos Campur,-6.882555,107.581349,12.0,1100000,91666.66666666667
sukasari,Kos Putri,-6.869558,107.581502,15.0,1700000,113333.33333333333
sukajadi,Kos Campur,-6.887821,107.582003,9.0,1400000,155555.55555555556
sukasari,Kos Campur,-6.8686528190603,107.59029820561,15.0,800000,53333.333333333336
sukajadi,Kos Campur,-6.882637,107.581199,9.0,1100000,122222.22222222222
sukajadi,Kos Campur,-6.8827674,107.5811667,10.5,1500000,142857.14285714287
sukajadi,Kos Campur,-6.8794209,107.5896429,12.0,1800000,150000.0
sukajadi,Kos Campur,-6.882566,107.581338,20.0,1400000,70000.0
sukajadi,Kos Campur,-6.883129,107.582943,12.0,1300005,108333.75
sukasari,Kos Putri,-6.875873,107.584441,12.600000000000001,1350000,107142.85714285713
sukajadi,Kos Campur,-6.885772,107.58292,7.5,1400000,186666.66666666666
cimahi utara,Kos Putri,-6.8830259207349,107.56864707917,9.0,700000,77777.77777777778
cicendo,Kos Campur,-6.902356,107.585813,12.0,900000,75000.0
dayeuhkolot,Kos Putra,-6.9804498,107.6291026,12.0,1138200,94850.0
dayeuhkolot,Kos Putra,-6.9804498,107.6291026,20.0,1221000,61050.0
bandung kidul,Kos Campur,-6.957685,107.624921,30.0,2950000,98333.33333333333
dayeuhkolot,Kos Putri,-6.976836,107.633879,9.0,1450000,161111.11111111112
bojongsoang,Kos Putri,-6.9855712,107.632945,9.0,1000000,111111.11111111111
dayeuhkolot,Kos Putra,-6.9724954787327,107.62156236917,12.0,500000,41666.666666666664
dayeuhkolot,Kos Putra,-6.976962,107.633208,12.0,1300000,108333.33333333333
dayeuhkolot,Kos Putra,-6.978917,107.630519,12.0,1250000,104166.66666666667
dayeuhkolot,Kos Putra,-6.9820559620254,107.62910004705,10.0,1200000,120000.0
bojongsoang,Kos Putri,-6.9736862234745,107.63691365719,7.839999999999999,1400000,178571.4285714286
dayeuhkolot,Kos Putri,-6.978068,107.633551,12.0,700000,58333.333333333336
bojongsoang,Kos Campur,-6.9699109725151,107.63669371605,12.0,700000,58333.333333333336
bojongsoang,Kos Putra,-6.979367,107.634527,17.5,800000,45714.28571428572
bandung kidul,Kos Campur,-6.959471,107.6438254,9.0,1300000,144444.44444444444
dayeuhkolot,Kos Putra,-6.9782938689247,107.63216257093,15.0,1700000,113333.33333333333
dayeuhkolot,Kos Putra,-6.970709,107.63278,9.0,800000,88888.88888888889
dayeuhkolot,Kos Putra,-6.977876,107.629316,12.0,600000,50000.0
dayeuhkolot,Kos Putri,-6.977159,107.632692,12.25,1300000,106122.44897959183
dayeuhkolot,Kos Putri,-6.971174,107.633243,16.0,915000,57187.5
dayeuhkolot,Kos Putri,-6.9679002,107.6345587,12.0,1500000,125000.0
bojongsoang,Kos Putri,-6.973692,107.633916,9.0,1000000,111111.11111111111
bojongsoang,Kos Putri,-6.9731527702044,107.63941347599,12.0,1000000,83333.33333333333
bojongsoang,Kos Putri,-6.9767123255417,107.63510651886,9.0,800000,88888.88888888889
bojongsoang,Kos Putri,-6.9738083595024,107.6340752095,12.0,920000,76666.66666666667
dayeuhkolot,Kos Putri,-6.972403,107.635462,12.0,1200000,100000.0
dayeuhkolot,Kos Putra,-6.9740300013681,107.63100005686,12.0,1200000,100000.0
bojongsoang,Kos Campur,-6.95887,107.644075,16.0,2150000,134375.0
bandung kidul,Kos Campur,-6.963949,107.648325,9.0,900000,100000.0
dayeuhkolot,Kos Putri,-6.9779726087306,107.62946784656,7.5,1150000,153333.33333333334
dayeuhkolot,Kos Putra,-6.9685092,107.6259411,9.0,700000,77777.77777777778
dayeuhkolot,Kos Putri,-6.9689988,107.6347289,9.0,1850000,205555.55555555556
bojongsoang,Kos Campur,-6.958964,107.644168,16.0,3000000,187500.0
dayeuhkolot,Kos Putra,-6.9788778085493,107.63024568558,9.0,1000000,111111.11111111111
bojongsoang,Kos Putri,-6.971894,107.63971,9.0,1600000,177777.77777777778
bandung kidul,Kos Putra,-6.965243,107.639816,12.0,1100000,91666.66666666667
dayeuhkolot,Kos Putri,-6.9795961,107.631014,9.0,1200000,133333.33333333334
bandung kidul,Kos Campur,-6.9594395,107.6436519,9.0,1700000,188888.88888888888
bojongsoang,Kos Putri,-6.971313,107.637991,9.0,1500000,166666.66666666666
dayeuhkolot,Kos Campur,-6.966037516104,107.63352368027,30.0,2500000,83333.33333333333
dayeuhkolot,Kos Putri,-6.9782068992556,107.63228416443,12.0,1500000,125000.0
bandung kidul,Kos Campur,-6.9627028363156,107.64329362661,9.0,850000,94444.44444444444
bojongsoang,Kos Putri,-6.972187,107.638064,9.0,950000,105555.55555555556
dayeuhkolot,Kos Putra,-6.981573,107.628988,16.0,1917000,119812.5
dayeuhkolot,Kos Campur,-6.974233,107.625949,18.0,1250000,69444.44444444444
buahbatu,Kos Campur,-6.955747,107.641367,9.0,750000,83333.33333333333
bojongsoang,Kos Putra,-6.9801058096763,107.63280652463,9.0,650000,72222.22222222222
buahbatu,Kos Campur,-6.9571174,107.6425106,9.0,1000000,111111.11111111111
bandung kidul,Kos Putra,-6.963436004876,107.63518905264,9.0,700000,77777.77777777778
dayeuhkolot,Kos Putra,-6.9792036118724,107.6281388104,12.0,850000,70833.33333333333
dayeuhkolot,Kos Putra,-6.9668142016236,107.63320684433,12.0,1000000,83333.33333333333
dayeuhkolot,Kos Putra,-6.979573,107.629843,9.0,2900000,322222.22222222225
dayeuhkolot,Kos Putra,-6.9796208,107.6305188,12.0,1500000,125000.0
bojongsoang,Kos Putra,-6.96996,107.636307,9.0,900000,100000.0
bojongsoang,Kos Campur,-6.975243,107.647713,16.0,500000,31250.0
bojongsoang,Kos Putri,-6.983014,107.631821,12.0,850000,70833.33333333333
bojongsoang,Kos Putra,-6.9801014833907,107.63282563537,12.0,650000,54166.666666666664
buahbatu,Kos Putra,-6.9572980754262,107.6467794925,12.0,850000,70833.33333333333
bandung kidul,Kos Campur,-6.9593272990641,107.64559015626,12.0,1250000,104166.66666666667
dayeuhkolot,Kos Putra,-6.977836,107.633589,9.0,800000,88888.88888888889
bandung kidul,Kos Putra,-6.961216,107.641146,6.0,700000,116666.66666666667
bojongsoang,Kos Putra,-6.978127,107.636445,12.0,1200000,100000.0
bojongsoang,Kos Putra,-6.971199566958,107.63602852821,9.0,750000,83333.33333333333
dayeuhkolot,Kos Putra,-6.9683375,107.6331619,12.0,1200000,100000.0
dayeuhkolot,Kos Campur,-6.968418,107.625857,12.0,650000,54166.666666666664
bojongsoang,Kos Putra,-6.96996,107.636307,12.0,1000000,83333.33333333333
buahbatu,Kos Putra,-6.9597182445243,107.64773234725,12.0,1100000,91666.66666666667
bojongsoang,Kos Putri,-6.9734253115262,107.63685464859,12.0,1500000,125000.0
dayeuhkolot,Kos Putri,-6.9689177,107.6333122,9.0,1250000,138888.88888888888
dayeuhkolot,Kos Campur,-6.974233,107.625949,8.5,900000,105882.35294117648
bojongsoang,Kos Putri,-6.972157,107.64122,6.0,900000,150000.0
buahbatu,Kos Putri,-6.956211,107.646908,9.0,800000,88888.88888888889
bojongsoang,Kos Putra,-6.976496,107.635084,12.0,750000,62500.0
bojongsoang,Kos Putra,-6.9873812342455,107.6356369257,9.0,850000,94444.44444444444
bojongsoang,Kos Putra,-6.975324,107.647671,12.0,600000,50000.0
bojongsoang,Kos Putra,-6.974653,107.634642,9.0,500000,55555.555555555555
dayeuhkolot,Kos Campur,-6.973221,107.625709,9.0,750000,83333.33333333333
dayeuhkolot,Kos Putri,-6.9779726087306,107.62946784656,10.5,1350000,128571.42857142857
bandung kidul,Kos Putra,-6.9612844254115,107.64092858881,12.0,750000,62500.0
dayeuhkolot,Kos Putri,-6.978068,107.633551,10.5,700000,66666.66666666667
bojongsoang,Kos Putra,-6.976155,107.635168,12.0,700000,58333.333333333336
dayeuhkolot,Kos Putra,-6.971589,107.634127,12.0,1000000,83333.33333333333
bojongsoang,Kos Putri,-6.972157,107.64122,12.0,1300000,108333.33333333333
lengkong,Kos Putra,-6.9710092067344,107.63585016131,9.0,850000,94444.44444444444
bandung kidul,Kos Putra,-6.961284,107.640929,10.0,1100000,110000.0
bandung,Kos Putri,-6.965822193684,107.63360884041,15.0,1600000,106666.66666666667
bojongsoang,Kos Putri,-6.9727223,107.6374973,9.0,950000,105555.55555555556
bandung kidul,Kos Putra,-6.9612844254115,107.64092858881,9.0,750000,83333.33333333333
bojongsoang,Kos Campur,-6.974817394896,107.64743629843,9.0,600000,66666.66666666667
bojongsoang,Kos Putri,-6.9742206931597,107.63472564518,9.0,750000,83333.33333333333
bojongsoang,Kos Putri,-6.967525,107.637402,12.0,850000,70833.33333333333
bojongsoang,Kos Putri,-6.9735837223692,107.63415131718,18.0,1500000,83333.33333333333
bojongsoang,Kos Putra,-6.97585,107.634431,12.0,900000,75000.0
bojongsoang,Kos Putri,-6.974615055519,107.6332340017,9.0,850000,94444.44444444444
dayeuhkolot,Kos Putra,-6.966696,107.633254,9.0,900000,100000.0
dayeuhkolot,Kos Putra,-6.9664824710852,107.63318136334,9.0,1500000,166666.66666666666
bojongsoang,Kos Putri,-6.9697033068918,107.6403683424,10.5,1200000,114285.71428571429
buahbatu,Kos Campur,-6.9572980754262,107.6467794925,12.0,1100000,91666.66666666667
dayeuhkolot,Kos Campur,-6.967165,107.6229015,12.5,1000000,80000.0
bojongsoang,Kos Putri,-6.971227,107.643406,12.0,950000,79166.66666666667
bojongsoang,Kos Putra,-6.979334,107.63431,12.25,800000,65306.12244897959
bandung kidul,Kos Putra,-6.957685,107.624921,12.0,1500000,125000.0
dayeuhkolot,Kos Campur,-6.974233,107.625949,11.47,1100000,95902.3539668701
dayeuhkolot,Kos Putra,-6.9724954787327,107.62156236917,12.0,600000,50000.0
dayeuhkolot,Kos Putri,-6.9689177,107.6333122,12.0,1500000,125000.0
dayeuhkolot,Kos Putra,-6.97847,107.631416,9.0,800000,88888.88888888889
dayeuhkolot,Kos Putri,-6.971057,107.63315,9.0,1300000,144444.44444444444
dayeuhkolot,Kos Putri,-6.971117,107.633446,12.0,950000,79166.66666666667
bojongsoang,Kos Putri,-6.972157,107.64122,9.0,1100000,122222.22222222222
dayeuhkolot,Kos Putra,-6.9790831412114,107.62990370393,12.0,1833333,152777.75
dayeuhkolot,Kos Campur,-6.970633,107.635567,21.0,1000000,47619.04761904762
baleendah,Kos Putra,-6.9874611028835,107.6151072979,15.0,700000,46666.666666666664
bojongsoang,Kos Putri,-6.976687,107.6350947,20.0,900000,45000.0
bojongsoang,Kos Putra,-6.96996,107.636307,12.0,900000,75000.0
bojongsoang,Kos Putra,-6.97652,107.635046,12.0,700000,58333.333333333336
bandung kidul,Kos Campur,-6.9626474,107.6432887,20.0,1700000,85000.0
dayeuhkolot,Kos Putra,-6.9715698,107.6351812,12.0,1000000,83333.33333333333
buahbatu,Kos Campur,-6.9555075682572,107.64748625457,16.0,1100000,68750.0
dayeuhkolot,Kos Putri,-6.9772484508336,107.63353943333,9.0,1300000,144444.44444444444
bojongsoang,Kos Putra,-6.9738063627283,107.63428039849,12.0,550000,45833.333333333336
dayeuhkolot,Kos Putri,-6.977537,107.631867,12.0,1000000,83333.33333333333
bojongsoang,Kos Putra,-6.9707682611656,107.63590045273,18.0,830000,46111.11111111111
bandung kidul,Kos Campur,-6.957685,107.624921,27.5,2650000,96363.63636363637
bojongsoang,Kos Putri,-6.979286,107.637185,9.0,1750000,194444.44444444444
dayeuhkolot,Kos Putra,-6.9792967935778,107.62808717787,12.0,850000,70833.33333333333
dayeuhkolot,Kos Putri,-6.968409,107.63478,8.8,1650000,187499.99999999997
bandung kidul,Kos Campur,-6.9627021707085,107.64341332018,60.0,2000000,33333.333333333336
bandung kidul,Kos Campur,-6.9626474,107.6432887,28.0,2000000,71428.57142857143
dayeuhkolot,Kos Putri,-6.9779726087306,107.62946784656,5.0,800000,160000.0
bojongsoang,Kos Putra,-6.975157,107.63515,9.0,700000,77777.77777777778
dayeuhkolot,Kos Putri,-6.979085,107.6299543,9.0,1300000,144444.44444444444
bojongsoang,Kos Putri,-6.972157,107.64122,9.0,1100000,122222.22222222222
dayeuhkolot,Kos Putra,-6.975553,107.629854,7.5,1000000,133333.33333333334
dayeuhkolot,Kos Putri,-6.97001,107.633682,12.0,775000,64583.333333333336
bojongsoang,Kos Putra,-6.971445,107.643509,12.0,1000000,83333.33333333333
buahbatu,Kos Putri,-6.9587,107.645185,9.0,850000,94444.44444444444
bojongsoang,Kos Putra,-6.969927,107.636327,12.0,1200000,100000.0
bojongsoang,Kos Putri,-6.971989,107.637638,9.0,1400000,155555.55555555556
bojongsoang,Kos Putra,-6.974258,107.635591,9.0,500000,55555.555555555555
bojongsoang,Kos Putri,-6.97961,107.634503,12.0,550000,45833.333333333336
dayeuhkolot,Kos Putra,-6.9700400989425,107.63177957386,6.760000000000001,800000,118343.19526627217
dayeuhkolot,Kos Putri,-6.9671761,107.6341215,15.0,2500000,166666.66666666666
dayeuhkolot,Kos Putra,-6.971569,107.635329,64.0,900000,14062.5
bojongsoang,Kos Putra,-6.9762883462914,107.63461466879,5.75,724967,126081.21739130435
bojongsoang,Kos Putri,-6.9712321811144,107.63820379972,9.0,1200000,133333.33333333334
dayeuhkolot,Kos Putra,-6.975786,107.633056,12.0,900000,75000.0
bandung kidul,Kos Putra,-6.9625755,107.6471266,9.0,700000,77777.77777777778
dayeuhkolot,Kos Campur,-6.977338,107.6322107,12.0,1000000,83333.33333333333
dayeuhkolot,Kos Putra,-6.970497,107.633585,12.0,950000,79166.66666666667
dayeuhkolot,Kos Putra,-6.978368,107.63061,12.0,1300000,108333.33333333333
dayeuhkolot,Kos Putra,-6.970497,107.632309,12.0,750000,62500.0
dayeuhkolot,Kos Putra,-6.967794,107.6227,18.0,1000000,55555.555555555555
dayeuhkolot,Kos Campur,-6.9707579,107.6342133,16.0,2000000,125000.0
dayeuhkolot,Kos Putra,-6.977622,107.632617,12.0,1200000,100000.0
bojongsoang,Kos Putri,-6.978561,107.633855,12.0,700000,58333.333333333336
dayeuhkolot,Kos Putra,-6.9794017,107.6297851,10.26,670000,65302.14424951267
dayeuhkolot,Kos Campur,-6.968513,107.627953,12.0,650000,54166.666666666664
dayeuhkolot,Kos Putra,-6.967722,107.632998,12.0,1300000,108333.33333333333
dayeuhkolot,Kos Putri,-6.971773,107.6341433,9.0,880000,97777.77777777778
dayeuhkolot,Kos Putra,-6.967519,107.635937,9.0,550000,61111.11111111111
dayeuhkolot,Kos Putra,-6.968228341226,107.62859344482,12.0,2025000,168750.0
dayeuhkolot,Kos Putri,-6.96913,107.634486,12.0,1800000,150000.0
bojongsoang,Kos Putri,-6.9724881572073,107.63941884041,9.0,1050000,116666.66666666667
dayeuhkolot,Kos Putri,-6.9678556054856,107.63588905334,9.0,500000,55555.555555555555
dayeuhkolot,Kos Putra,-6.977572,107.633024,12.0,600000,50000.0
dayeuhkolot,Kos Campur,-6.970835,107.633438,9.0,1200000,133333.33333333334
bojongsoang,Kos Putra,-6.9762883462914,107.63461466879,6.669999999999999,833300,124932.53373313344
dayeuhkolot,Kos Campur,-6.966198,107.636018,16.0,850000,53125.0
bojongsoang,Kos Putra,-6.971355,107.646021,12.0,999999,83333.25
bojongsoang,Kos Campur,-6.972147,107.639423,9.0,700000,77777.77777777778
dayeuhkolot,Kos Putra,-6.970524985887,107.63210512698,9.0,600000,66666.66666666667
dayeuhkolot,Kos Putri,-6.976789,107.633532,11.549999999999999,1600000,138528.13852813854
dayeuhkolot,Kos Campur,-6.978746,107.628676,15.0,2500000,166666.66666666666
dayeuhkolot,Kos Putra,-6.967294,107.625124,15.0,1450000,96666.66666666667
bandung kidul,Kos Putri,-6.9596912872639,107.64072105289,12.25,1750000,142857.14285714287
bojongsoang,Kos Putra,-6.973899,107.638815,11.0,1250000,113636.36363636363
bandung kidul,Kos Campur,-6.959814,107.613984,9.0,400000,44444.444444444445
dayeuhkolot,Kos Putra,-6.9782238716751,107.63141814619,9.0,1300000,144444.44444444444
dayeuhkolot,Kos Putri,-6.97946,107.630017,12.0,1900000,158333.33333333334
dayeuhkolot,Kos Putri,-6.9770418,107.6331994,10.5,1780000,169523.80952380953
dayeuhkolot,Kos Campur,-6.9772454606003,107.63226974756,12.0,2500000,208333.33333333334
dayeuhkolot,Kos Putri,-6.9779726087306,107.62946784656,7.5,1150000,153333.33333333334
bojongsoang,Kos Putra,-6.974653,107.634642,9.0,500000,55555.555555555555
dayeuhkolot,Kos Campur,-6.974233,107.625949,18.0,1250000,69444.44444444444
bojongsoang,Kos Putri,-6.983014,107.631821,12.0,850000,70833.33333333333
bojongsoang,Kos Putra,-6.9801014833907,107.63282563537,12.0,650000,54166.666666666664
cibiru,Kos Campur,-6.9239391,107.7152461,12.0,900000,75000.0
cileunyi,Kos Putri,-6.941846,107.720066,9.0,800000,88888.88888888889
cileunyi,Kos Putri,-6.940419,107.720841,9.0,650000,72222.22222222222
panyileukan,Kos Campur,-6.944098,107.714694,9.0,2000000,222222.22222222222
cileunyi,Kos Putra,-6.9404843453116,107.71895438433,12.0,1400000,116666.66666666667
