kecamatan,gender,latitude,longitude,luas_m2,harga,harga_per_m2
bandung wetan,Kos Campur,-6.8991589,107.604973,4.0,1100000,275000.0
coblong,Kos Campur,-6.8839818929877,107.6184174791,20.0,1800000,90000.0
coblong,Kos Putri,-6.892614384701,107.61926473069,12.0,1100000,91666.66666666667
sukajadi,Kos Putri,-6.8825912056962,107.59175598621,12.0,900000,75000.0
cidadap,Kos Putri,-6.87595,107.603763,9.0,1200000,133333.33333333334
cibeunying kaler,Kos Putra,-6.888654,107.628352,9.0,1350000,150000.0
coblong,Kos Putra,-6.887059,107.619869,9.0,2250000,250000.0
coblong,Kos Putri,-6.883391,107.611712,10.0,1800000,180000.0
sukajadi,Kos Campur,-6.880811,107.593545,6.300000000000001,900000,142857.14285714284
coblong,Kos Putra,-6.88122,107.617373,12.0,750000,62500.0
coblong,Kos Putra,-6.880834,107.618009,12.0,950000,79166.66666666667
sukajadi,Kos Campur,-6.8930605376351,107.60072160512,25.0,1350000,54000.0
coblong,Kos Putri,-6.87946,107.612598,9.0,1400000,155555.55555555556
coblong,Kos Putra,-6.885317987471,107.62010928243,9.0,1300000,144444.44444444444
coblong,Kos Campur,-6.8712521924109,107.61549387127,5.6,1300000,232142.85714285716
coblong,Kos Campur,-6.885068,107.623175,12.0,2000000,166666.66666666666
cicendo,Kos Campur,-6.9072412,107.5953284,12.0,2500000,208333.33333333334
coblong,Kos Campur,-6.88336,107.61858,12.0,2500000,208333.33333333334
coblong,Kos Putri,-6.87705,107.612149,12.0,1900000,158333.33333333334
cicendo,Kos Campur,-6.9031738,107.5943782,9.0,1300000,144444.44444444444
cibeunying kaler,Kos Putri,-6.897756,107.626884,6.0,600000,100000.0
coblong,Kos Campur,-6.872597,107.614004,8.0,1600000,200000.0
cidadap,Kos Putra,-6.880974,107.60418,9.0,1200000,133333.33333333334
coblong,Kos Campur,-6.8835598,107.6216176,16.0,2900000,181250.0
coblong,Kos Putri,-6.8896011,107.6252403,9.0,1500000,166666.66666666666
cibeunying kaler,Kos Putri,-6.897756,107.626884,3.0,550000,183333.33333333334
coblong,Kos Putri,-6.8715464,107.6170236,9.0,950000,105555.55555555556
coblong,Kos Putri,-6.871834,107.61963,12.899999999999999,2019000,156511.62790697676
cibeunying kaler,Kos Putri,-6.897162,107.627618,12.0,700000,58333.333333333336
coblong,Kos Campur,-6.871619,107.616877,12.0,1000000,83333.33333333333
coblong,Kos Putra,-6.8853492761358,107.62006770819,9.0,1800000,200000.0
coblong,Kos Putra,-6.890466,107.624172,12.0,800000,66666.66666666667
coblong,Kos Putri,-6.871462,107.616326,9.0,850000,94444.44444444444
coblong,Kos Campur,-6.8859155,107.6193198,9.0,2250000,250000.0
coblong,Kos Putra,-6.890915,107.622487,9.0,800000,88888.88888888889
cibeunying kaler,Kos Campur,-6.8987146,107.6248681,9.0,750000,83333.33333333333
coblong,Kos Campur,-6.8733858715309,107.61443205178,12.0,950000,79166.66666666667
cicendo,Kos Campur,-6.904229,107.59617,9.0,1300000,144444.44444444444
coblong,Kos Putri,-6.881605,107.608674,19.8,2400000,121212.1212121212
cidadap,Kos Campur,-6.881052,107.604146,15.0,1700000,113333.33333333333
coblong,Kos Putri,-6.887954,107.619894,20.0,1200000,60000.0
coblong,Kos Campur,-6.874398,107.614778,9.0,1000000,111111.11111111111
coblong,Kos Putra,-6.885993,107.620062,8.399999999999999,2000000,238095.23809523814
coblong,Kos Putra,-6.8807874336066,107.62163646519,16.0,2450000,153125.0
cidadap,Kos Campur,-6.87318,107.607047,9.0,1400000,155555.55555555556
sukajadi,Kos Campur,-6.887043,107.600446,12.0,700000,58333.333333333336
cidadap,Kos Campur,-6.878346,107.604851,9.0,750000,83333.33333333333
coblong,Kos Putra,-6.8871437108948,107.61649265885,9.600000000000001,1220000,127083.33333333331
coblong,Kos Putra,-6.89303,107.607001,9.0,750000,83333.33333333333
coblong,Kos Putri,-6.8921455246451,107.6200086996,9.0,600000,66666.66666666667
coblong,Kos Putri,-6.892902,107.61544,16.0,2200000,137500.0
coblong,Kos Putra,-6.87931,107.608478,9.0,700000,77777.77777777778
coblong,Kos Campur,-6.886805,107.616003,9.0,1350000,150000.0
coblong,Kos Putri,-6.876543,107.612645,10.5,1750000,166666.66666666666
bandung wetan,Kos Putri,-6.900828,107.605762,6.25,500000,80000.0
coblong,Kos Campur,-6.885696,107.62344,6.0,1500000,250000.0
coblong,Kos Putri,-6.8946222,107.6065921,9.0,1650000,183333.33333333334
coblong,Kos Putri,-6.886142,107.618794,8.7,2200000,252873.56321839083
coblong,Kos Putra,-6.873891,107.617455,8.100000000000001,1200000,148148.14814814812
coblong,Kos Campur,-6.898901,107.6037993,9.0,1400000,155555.55555555556
bandung wetan,Kos Putri,-6.8979688,107.6079031,12.0,600000,50000.0
coblong,Kos Campur,-6.88336,107.61858,15.0,1800000,120000.0
coblong,Kos Putri,-6.897891,107.620976,12.0,1500000,125000.0
