id,dataset,kecamatan,gender,latitude,longitude,panjang,lebar,ac,air_panas,bak_mandi,bantal,bathtub,cctv,cermin,cleaning_service,dapur,dispenser,ember_mandi,guling,jemuran,kamar_mandi_dalam,kamar_mandi_luar,kartu_akses,kasur,kipas_angin,kloset_duduk,kloset_jongkok,kulkas,kursi,laundry,lemari_baju,locker,meja,meja_makan,microwave,mushola,parkir_mobil,parkir_motor,parkir_sepeda,penjaga_kos,rice_cooker,ruang_santai,shower,sofa,taman,termasuk_listrik,tv,wastafel,wifi,harga,luas,kategori_harga,total_facilities,jumlah_fasilitas_premium,jumlah_fasilitas_non_premium,jumlah_fasilitas_netral,luas_m2
20,itb,coblong,Kos Putra,-6.875537663,107.6143242,3,3,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,2185000,9,High,24,10,3,11,9
21,itb,cidadap,Kos Campur,-6.878851,107.604271,3,3,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,718000,9,Low,12,1,5,6,9
22,itb,coblong,Kos Campur,-6.89124559,107.6247696,3,3.5,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1313000,10.5,Medium,14,7,1,6,10.5
23,itb,coblong,Kos Putri,-6.882322326,107.6131166,2.5,2.5,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,720200,6.25,Low,15,1,5,9,6.25
24,itb,coblong,Kos Campur,-6.893979904,107.6038801,4,4.5,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,2545000,18,High,21,10,2,9,18
25,itb,cibeunying kaler,Kos Putra,-6.8965983,107.6281153,3,3.5,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,835000,10.5,Low,12,1,5,6,10.5
26,itb,cidadap,Kos Campur,-6.8724722,107.6034816,3.5,3.5,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1313000,12.25,Medium,17,8,1,8,12.25
27,itb,coblong,Kos Campur,-6.875708941,107.6131949,3,4,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1950000,12,Medium,21,8,2,11,12
28,itb,coblong,Kos Campur,-6.882858825,107.6209062,3,4,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1350000,12,Medium,19,5,5,9,12
29,itb,cibeunying kaler,Kos Campur,-6.888674521,107.629135,3,3,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1100000,9,Medium,21,9,3,9,9
